Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_enc,temp_diff,power_proxy,wear_category,high_wear,high_torque,low_speed,strain_index,overheat,failure_mode_count
L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,0,9.8,5.792,High(151-200),0,0,0,0,0,0
H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,2,9.8,4.1196,High(151-200),0,0,0,0,0,0
M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,1,9.7,7.201,Critical(>200),1,0,0,0,0,0
H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,2,9.8,6.7323,Critical(>200),1,0,0,0,0,0
M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,1,9.8,6.2785,Critical(>200),1,0,0,0,0,0
L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,0,9.8,7.2395,Critical(>200),1,1,0,0,0,0
L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,0,9.8,8.1484,Critical(>200),1,1,1,1,0,1
L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,0,9.8,7.7327,Critical(>200),1,1,1,1,0,1
L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,0,9.8,5.8956,Fresh(0-50),0,0,0,0,0,0
M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,1,9.8,6.7328,Fresh(0-50),0,0,0,0,0,0
M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,1,9.8,6.5742,Fresh(0-50),0,0,0,0,0,0
L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,0,9.9,4.7181,Fresh(0-50),0,0,0,0,0,0
H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,2,9.8,5.5027,Fresh(0-50),0,0,0,0,0,0
H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,2,9.9,6.5495,Fresh(0-50),0,0,0,0,0,0
L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,0,9.9,9.3483,Fresh(0-50),0,1,0,0,0,1
L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,0,9.9,8.1564,Fresh(0-50),0,1,1,1,0,0
M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,1,9.8,5.9005,Fresh(0-50),0,0,0,0,0,0
L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,0,9.9,7.7769,Fresh(0-50),0,1,0,0,0,0
M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,1,9.9,4.1905,Fresh(0-50),0,0,0,0,0,0
M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,1,9.8,5.6143,Fresh(0-50),0,0,0,0,0,0
L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,0,9.9,7.9728,Fresh(0-50),0,1,1,1,0,0
L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,0,9.9,6.295,Fresh(0-50),0,0,1,0,0,0
L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,0,9.9,5.879,Fresh(0-50),0,0,0,0,0,0
L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,0,10.0,4.4548,Fresh(0-50),0,0,0,0,0,0
L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,0,10.0,7.5484,Fresh(0-50),0,1,0,0,0,0
L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,0,10.1,6.7999,Fresh(0-50),0,1,1,1,0,0
L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,0,10.1,7.7071,Fresh(0-50),0,1,0,0,0,0
H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,2,10.1,4.6221,Fresh(0-50),0,0,0,0,0,0
M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,1,10.1,6.7592,Low(51-100),0,1,1,1,0,0
L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,0,10.1,6.3287,Low(51-100),0,0,0,0,0,0
L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,0,10.0,5.3414,Low(51-100),0,0,0,0,0,0
L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,0,10.0,5.784,Low(51-100),0,0,0,0,0,0
L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,0,10.2,7.6289,Low(51-100),0,1,1,1,0,0
L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,0,10.2,6.2235,Low(51-100),0,0,1,0,0,0
L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,0,10.2,5.6504,Low(51-100),0,0,0,0,0,0
M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,1,10.1,6.994,Low(51-100),0,0,0,0,0,0
L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,0,10.2,7.7175,Low(51-100),0,1,0,0,0,0
L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,0,10.2,6.036,Low(51-100),0,0,0,0,0,0
H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,2,10.2,7.5829,Low(51-100),0,1,1,1,0,0
H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,2,10.2,6.0795,Low(51-100),0,0,0,0,0,0
M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,1,10.3,3.0005,Low(51-100),0,0,0,0,0,1
L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,0,10.2,6.5271,Low(51-100),0,0,0,0,0,0
H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,2,10.3,7.4224,Low(51-100),0,1,0,0,0,0
M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,1,10.2,6.5397,Low(51-100),0,0,0,0,0,0
L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,0,10.3,5.8199,Low(51-100),0,0,0,0,0,0
L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,0,10.2,7.0675,Medium(101-150),0,1,0,0,0,0
L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,0,10.2,5.8969,Medium(101-150),0,0,0,0,0,0
L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,0,10.2,6.7948,Medium(101-150),0,0,0,0,0,0
M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,1,10.1,6.1157,Medium(101-150),0,0,0,0,0,0
L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,0,10.1,5.9132,Medium(101-150),0,0,0,0,0,0
L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,0,10.1,5.9796,Medium(101-150),0,0,0,0,0,0
M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,1,10.1,7.4588,Medium(101-150),0,1,1,1,0,0
L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,0,10.2,5.9474,Medium(101-150),0,0,0,0,0,0
M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,1,10.3,9.0319,Medium(101-150),0,1,1,1,0,1
L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,0,10.2,6.1141,Medium(101-150),0,0,0,0,0,0
L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,0,10.2,6.805,Medium(101-150),0,0,0,0,0,0
L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,0,10.3,5.7571,Medium(101-150),0,0,0,0,0,0
L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,0,10.2,5.5908,Medium(101-150),0,0,0,0,0,0
H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,2,10.3,7.4448,Medium(101-150),0,1,1,1,0,0
L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,0,10.3,6.5164,Medium(101-150),0,0,1,0,0,0
M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,1,10.3,6.173,Medium(101-150),0,0,0,0,0,0
L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,0,10.3,6.5324,Medium(101-150),0,0,0,0,0,0
L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,0,10.3,6.0117,Medium(101-150),0,0,0,0,0,0
L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,0,10.2,5.506,Medium(101-150),0,0,0,0,0,0
L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,0,10.3,5.7728,Medium(101-150),0,0,0,0,0,0
M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,1,10.2,6.9373,Medium(101-150),0,0,0,0,0,0
L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,0,10.2,7.8139,High(151-200),0,1,1,1,0,0
H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,2,10.1,4.6488,High(151-200),0,0,0,0,0,0
L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,0,10.2,6.1445,High(151-200),0,0,1,0,0,0
